r,deviance,nu,JIC
0,-2.54902559959629,0.08183244957190776,-2.467193150024382
5,-2.576921757005891,0.09547119116722572,-2.481450565838665
10,-2.89800467796125,0.10910993276254367,-2.7888947451987063
15,-2.8932231966946196,0.12274867435786165,-2.770474522336758
20,-2.8914115036752905,0.13638741595317957,-2.755024087722111
25,-2.9343768178696417,0.15002615754849755,-2.7843506603211443
30,-2.9585552650092324,0.16366489914381552,-2.7948903658654167
35,-2.9610440915439105,0.1773036407391335,-2.783740450804777
40,-2.8937369534374136,0.19094238233445143,-2.702794571102962
45,-2.9859994400128476,0.20458112392976938,-2.7814183160830783
50,-3.0380660883817656,0.21821986552508735,-2.819846222856678
